Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
World,24899595,284898,840677,5711,17290446,204076,6768472,61263,3194,107.9,0,0,0,All,0,0,0
North America,7210608,61333,267457,1772,4134346,35691,2808805,20528,0,0,0,0,0,North America,0,0,0
Asia,6785167,103272,138143,1591,5413183,87995,1233841,18637,0,0,0,0,0,Asia,0,0,0
South America,6131708,81822,198378,1766,4709004,60462,1224326,15117,0,0,0,0,0,South America,0,0,0
USA,6096235,49601,185901,1105,3375838,27898,2534496,16184,18400,561,80299670,242363,331319877,North America,54,1782,4
Brazil,3812605,48112,119594,868,2976796,29546,716215,8318,17916,562,14172764,66600,212805498,South America,56,1779,15
Europe,3509878,30121,206931,339,2045742,12662,1257205,5639,0,0,0,0,0,Europe,0,0,0
India,3461240,76665,62713,1019,2647538,64475,750989,8944,2504,45,39477848,28562,1382196924,Asia,399,22040,35
Africa,1233365,8116,29141,231,964846,6992,239378,1289,0,0,0,0,0,Africa,0,0,0
Russia,980405,4829,16914,110,798466,5905,165025,2300,6718,116,35751747,244968,145944843,Europe,149,8629,4
Peru,629961,7964,28471,194,438017,8355,163473,1517,19064,862,3124076,94540,33045190,South America,52,1161,11
South Africa,620132,1846,13743,115,533935,2597,72454,539,10435,231,3632311,61121,59428553,Africa,96,4324,16
Colombia,590520,8498,18767,299,429620,11827,142133,1493,11586,368,2654983,52089,50970324,South America,86,2716,19
Mexico,579914,6026,62594,518,400479,3721,116841,3294,4490,485,1304776,10103,129151233,North America,223,2063,99
Spain,455621,3829,29011,15,N/A,N/A,N/A,751,9744,620,8517446,182161,46757783,Europe,103,1612,5
Chile,405972,1870,11132,60,379452,1530,15388,1012,21208,582,2333516,121900,19142814,South America,47,1720,8
Argentina,392009,11717,8271,221,280165,5707,103573,2114,8661,183,1196878,26443,45262921,South America,115,5472,38
Iran,369911,2115,21249,112,318270,1632,30392,3811,4395,252,3161894,37568,84165180,Asia,228,3961,27
UK,331644,1276,41486,9,N/A,N/A,N/A,71,4881,611,16273209,239508,67944393,Europe,205,1638,4
Saudi Arabia,312924,1069,3813,28,287403,1148,21708,1576,8966,109,4792192,137312,34900013,Asia,112,9153,7
Bangladesh,306794,2211,4174,47,196836,3378,105784,0,1860,25,1514126,9179,164954430,Asia,538,39520,109
Pakistan,295053,415,6283,9,279937,376,8833,644,1332,28,2559261,11551,221565832,Asia,751,35264,87
France,267077,7379,30596,20,86177,193,150304,387,4090,469,6030812,92359,65297356,Europe,244,2134,11
Turkey,265515,1517,6245,36,241809,1017,17461,896,3143,74,6835674,80910,84485330,Asia,318,13528,12
Italy,265409,1462,35472,9,206902,348,23035,74,4391,587,8410510,139139,60447003,Europe,228,1704,7
Germany,242114,1549,9360,1,217061,1566,15693,245,2888,112,11208091,133703,83828051,Europe,346,8956,7
Iraq,223612,4177,6814,74,164874,3865,51924,582,5540,169,1547498,38340,40362883,Asia,181,5924,26
Philippines,209494,3949,3325,91,134446,482,71723,580,1908,30,2472563,22516,109814383,Asia,524,33027,44
Indonesia,165887,3003,7169,105,120900,2325,37818,0,605,26,2169418,7918,273990013,Asia,1652,38219,126
Canada,127358,510,9108,6,113234,409,5016,50,3370,241,5355340,141691,37795794,North America,297,4150,7
Qatar,118196,208,196,1,115017,220,2983,68,42096,70,614354,218802,2807805,Asia,24,14326,5
Ukraine,114497,2438,2451,48,55083,866,56963,177,2621,56,1494243,34201,43689434,Europe,382,17825,29
Bolivia,113129,1035,4791,65,52521,2124,55817,71,9670,410,239073,20436,11698467,South America,103,2442,49
Ecuador,112141,922,6504,33,95311,109,10326,381,6341,368,323303,18281,17685670,South America,158,2719,55
Israel,112000,1597,894,10,91051,3325,20055,414,12177,97,2217857,241135,9197590,Asia,82,10288,4
Kazakhstan,105408,165,1523,0,95253,540,8632,221,5603,81,2434444,129404,18812777,Asia,178,12352,8
Egypt,98285,223,5362,20,70419,807,22504,41,958,52,135000,1315,102638000,Africa,1044,19142,760
Dominican Republic,93390,426,1648,18,65285,938,26457,233,8595,152,360999,33224,10865479,North America,116,6593,30
Panama,90624,642,1966,18,64602,606,24056,154,20951,455,326597,75504,4325553,North America,48,2200,13
China,85013,9,4634,0,80091,45,288,5,59,3,90410000,62814,1439323776,Asia,16931,310601,16
Oman,85005,0,650,0,79608,0,4747,153,16581,127,309212,60315,5126634,Asia,60,7887,17
Romania,84468,1318,3507,48,37056,379,43905,497,4396,183,1756920,91430,19216003,Europe,227,5479,11
Sweden,83958,0,5821,5,N/A,N/A,N/A,21,8305,576,1094856,108299,10109546,Europe,120,1737,9
Kuwait,83578,633,525,3,75320,798,7733,94,19525,123,607921,142017,4280629,Asia,51,8154,7
Belgium,83500,470,9884,5,18360,29,55256,82,7200,852,2211804,190707,11597901,Europe,139,1173,5
Guatemala,72921,1065,2709,24,60534,893,9678,5,4058,151,237210,13202,17967755,North America,246,6633,76
Belarus,71346,181,667,5,69887,237,792,0,7551,71,1504964,159276,9448806,Europe,132,14166,6
Netherlands,69131,507,6220,2,N/A,N/A,N/A,47,4033,363,1455274,84900,17141131,Europe,248,2756,12
UAE,68901,390,379,1,59861,389,8661,0,6953,38,6835137,689750,9909587,Asia,144,26147,1
Japan,65573,905,1238,12,53995,1172,10340,227,519,10,1420589,11238,126411635,Asia,1928,102110,89
Poland,65480,791,2018,8,44785,688,18677,89,1730,53,2660665,70314,37839707,Europe,578,18751,14
Morocco,58489,1404,1052,41,43049,1148,14388,31,1582,28,1868545,50527,36980844,Africa,632,35153,20
Honduras,57669,1020,1803,56,9586,417,46280,39,5808,182,137618,13859,9929610,North America,172,5507,72
Portugal,57074,401,1815,6,41556,199,13703,38,5600,178,1976482,193930,10191733,Europe,179,5615,5
Singapore,56666,94,27,0,55337,198,1302,0,9674,5,1832813,312883,5857819,Asia,103,216956,3
Nigeria,53477,160,1011,0,41017,291,11449,7,258,5,394524,1907,206928340,Africa,3869,204677,525
Bahrain,51113,357,189,1,47760,390,3164,30,29884,111,1088418,636350,1710407,Asia,33,9050,2
Ethiopia,48140,1733,758,13,17415,586,29967,357,417,7,850236,7368,115403228,Africa,2397,152247,136
Ghana,43949,108,270,0,42392,146,1287,6,1410,9,439246,14090,31174325,Africa,709,115460,71
Venezuela,43879,981,366,8,34972,825,8541,86,1544,13,1734382,61022,28422458,South America,648,77657,16
Kyrgyzstan,43587,128,1057,0,37726,234,4804,24,6663,162,267718,40928,6541249,Asia,150,6189,24
Armenia,43451,181,869,5,37264,276,5318,0,14659,293,202253,68233,2964158,Asia,68,3411,15
Algeria,43403,387,1483,8,30436,279,11484,28,987,34,0,0,43975904,Africa,1013,29653,0
Switzerland,41346,340,2004,1,34800,0,4542,18,4772,231,988383,114067,8664924,Europe,210,4324,9
Uzbekistan,40823,376,303,5,37947,747,2573,133,1217,9,1377915,41075,33546521,Asia,822,110715,24
Costa Rica,38485,1193,407,10,14664,193,23414,140,7544,80,143049,28040,5101650,North America,133,12535,36
Afghanistan,38140,11,1402,1,29059,13,7679,31,976,36,102321,2619,39064675,Asia,1024,27864,382
Nepal,36456,927,195,12,20242,169,16019,0,1248,7,658110,22523,29219461,Asia,801,149843,44
Azerbaijan,35986,142,527,3,33461,97,1998,0,3544,52,904506,89079,10153980,Asia,282,19268,11
Moldova,35904,358,981,4,24156,0,10767,575,8904,243,207925,51564,4032396,Europe,112,4110,19
Kenya,33630,241,567,0,19434,66,13629,44,623,11,442713,8205,53955764,Africa,1604,95160,122
Serbia,31207,108,709,2,29802,269,696,36,3574,81,913856,104662,8731464,Europe,280,12315,10
Ireland,28578,125,1777,0,23364,0,3437,5,5777,359,814875,164732,4946665,Europe,173,2784,6
Oceania,28148,234,612,12,22674,274,4862,49,0,0,0,0,0,Australia/Oceania,0,0,0
Austria,26590,229,733,0,22594,277,3263,27,2950,81,1147944,127340,9014800,Europe,339,12298,8
Australia,25448,126,583,11,20633,267,4232,35,996,23,6052236,236902,25547450,Australia/Oceania,1004,43821,4
El Salvador,25415,131,702,8,13570,279,11143,281,3915,108,307977,47443,6491566,North America,255,9247,21
Czechia,23777,486,419,1,17497,307,5861,32,2220,39,880717,82216,10712264,Europe,451,25566,12
Palestine,21251,574,145,4,14291,97,6815,0,4151,28,263288,51425,5119812,Asia,241,35309,19
Bosnia and Herzegovina,19214,294,591,9,12733,253,5890,0,5863,180,182490,55682,3277374,Europe,171,5545,18
Cameroon,19142,0,411,0,17651,0,1080,30,718,15,149000,5591,26647839,Africa,1392,64837,179
S. Korea,19077,371,316,3,14551,90,4210,58,372,6,1887717,36814,51276496,Asia,2688,162267,27
Ivory Coast,17797,95,115,0,16315,176,1367,0,672,4,125085,4724,26479122,Africa,1488,230253,212
Denmark,16700,73,624,0,14877,114,1199,2,2882,108,2360333,407266,5795557,Europe,347,9288,2
Bulgaria,16065,157,603,9,11231,187,4231,59,2315,87,398426,57414,6939586,Europe,432,11508,17
Paraguay,15873,583,280,15,8595,247,6998,76,2221,39,185921,26015,7146595,South America,450,25524,38
Lebanon,15613,676,148,2,4260,127,11205,90,2289,22,502126,73622,6820309,Asia,437,46083,14
Madagascar,14696,104,187,3,13709,23,800,48,529,7,56617,2037,27800589,Africa,1892,148666,491
North Macedonia,14163,159,590,5,10933,211,2640,3,6798,283,145705,69938,2083360,Europe,147,3531,14
Senegal,13384,90,279,2,9091,117,4014,44,796,17,142524,8478,16811700,Africa,1256,60257,118
Sudan,13082,37,823,0,6603,9,5656,0,297,19,401,9,44008044,Africa,3364,53473,109746
Libya,12629,355,226,7,1310,101,11093,0,1834,33,101310,14712,6886226,Africa,545,30470,68
Zambia,11779,178,283,1,10945,105,551,0,638,15,112184,6076,18462608,Africa,1567,65239,165
Norway,10582,40,264,0,9348,0,970,1,1949,49,686202,126416,5428131,Europe,513,20561,8
DRC,9994,79,255,0,9035,15,704,0,111,3,0,0,89974062,Africa,9003,352839,0
Greece,9800,269,259,5,3804,0,5737,35,941,25,917265,88076,10414489,Europe,1063,40210,11
