Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Continent
World,2828826,105825,197099,6182,798371,1833356,58531,363,25.3,0,0,All
Europe,1225314,32038,117324,3065,393199,714791,26300,0,0,0,0,Europe
North America,996337,42373,56195,2226,130891,809251,16345,0,0,0,0,North America
USA,925232,38958,52193,1959,110432,762607,15097,2795,158,5015602,15153,North America
Asia,448216,12940,16603,391,212642,218971,6068,0,0,0,0,Asia
Spain,219764,6740,22524,367,92355,104885,7705,4700,482,930230,19896,Europe
Italy,192994,3021,25969,420,60498,106527,2173,3192,430,1642356,27164,Europe
France,159828,1645,22245,389,43493,94090,4870,2449,341,463662,7103,Europe
Germany,154999,1870,5760,185,106800,42439,2908,1850,69,2072669,24738,Europe
UK,143464,5386,19506,768,N/A,123614,1559,2113,287,612031,9016,Europe
South America,120166,16838,5538,465,45555,69073,9620,0,0,0,0,South America
Turkey,104912,3122,2600,109,21737,80575,1790,1244,31,830257,9844,Asia
Iran,88194,1168,5574,93,66599,16021,3121,1050,66,399927,4761,Asia
China,82804,6,4632,0,77257,915,57,58,3,0,0,Asia
Russia,68622,5849,615,60,5568,62439,2300,470,4,2550000,17474,Europe
Brazil,52995,3503,3670,357,27655,21670,8318,249,17,291922,1373,South America
Belgium,44293,1496,6679,189,10122,27492,970,3822,576,189067,16313,Europe
Canada,43888,1778,2302,155,15469,26117,557,1163,61,660108,17490,North America
Netherlands,36535,806,4289,112,N/A,31996,963,2132,250,187000,10913,Europe
Africa,29840,1623,1328,30,9140,19372,148,0,0,0,0,Africa
Switzerland,28677,181,1589,40,21000,6088,386,3313,184,235252,27182,Europe
India,24447,1408,780,59,5496,18171,0,18,0.6,541789,393,Asia
Portugal,22797,444,854,34,1228,20715,188,2236,84,315758,30967,Europe
Ecuador,22719,11536,576,16,1366,20777,127,1288,33,56513,3203,South America
Peru,21648,734,634,62,7496,13518,505,657,19,198349,6016,South America
Ireland,18184,577,1014,220,9233,7937,142,3683,205,111584,22598,Europe
Sweden,17567,812,2152,131,550,14865,547,1739,213,94500,9357,Europe
Saudi Arabia,15102,1172,127,6,2049,12926,93,434,4,200000,5745,Asia
Austria,15071,69,530,8,11872,2669,156,1673,59,212686,23615,Europe
Israel,15058,255,194,2,6003,8861,137,1740,22,302691,34971,Asia
Japan,12712,344,345,17,1530,10837,263,101,3,141600,1120,Asia
Chile,12306,494,174,6,6327,5805,408,644,9,142267,7442,South America
Singapore,12075,897,12,0,956,11107,26,2064,2,94796,16203,Asia
Pakistan,11940,883,253,18,2755,8932,111,54,1,138147,625,Asia
Mexico,11633,1089,1069,99,2627,7937,378,90,8,51297,398,North America
Poland,10892,381,494,40,1944,8454,160,288,13,265201,7007,Europe
S. Korea,10708,6,240,0,8501,1967,55,209,5,589520,11499,Asia
Romania,10417,321,567,22,2817,7033,241,541,29,121602,6321,Europe
UAE,9281,525,64,8,1760,7457,1,938,6,790000,79875,Asia
Belarus,8773,751,63,3,1120,7590,92,928,7,130824,13845,Europe
Qatar,8525,761,10,0,809,7706,72,2959,3,75888,26340,Asia
Oceania,8232,13,96,5,6299,1837,46,0,0,0,0,Australia/Oceania
Indonesia,8211,436,689,42,1002,6520,0,30,3,64054,234,Asia
Denmark,8210,137,403,9,5526,2281,69,1417,70,125329,21638,Europe
Ukraine,7647,477,193,6,601,6853,45,175,4,77752,1778,Europe
Serbia,7483,207,144,5,1094,6245,96,856,16,54887,6282,Europe
Norway,7463,62,199,5,32,7232,53,1377,37,155125,28614,Europe
Czechia,7273,86,214,4,2371,4688,76,679,20,203622,19014,Europe
Philippines,7192,211,477,15,762,5953,1,66,4,76956,702,Asia
Australia,6675,8,79,4,5136,1460,43,262,3,482371,18917,Australia/Oceania
Dominican Republic,5749,206,267,2,763,4719,135,530,25,18261,1683,North America
