Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
World,24025196,222201,822122,5450,16577944,226772,6625130,61671,3082,105.5,0,0,0,All,0,0,0
North America,7033808,44948,261613,1569,3974389,30353,2797806,20900,0,0,0,0,0,North America,0,0,0
Asia,6475666,91809,133307,1592,5161188,87816,1181171,18929,0,0,0,0,0,Asia,0,0,0
USA,5952355,36725,182268,1154,3241007,23026,2529080,16455,17967,550,77527543,234015,331293410,North America,56,1818,4
South America,5872676,56430,192334,1600,4482637,91261,1197705,14966,0,0,0,0,0,South America,0,0,0
Brazil,3669995,42778,116580,1129,2848395,69686,705020,8318,17247,548,14144344,66473,212784888,South America,58,1825,15
Europe,3407129,21202,205967,398,2003559,8609,1197603,5561,0,0,0,0,0,Europe,0,0,0
India,3231754,66873,59612,1066,2467252,64151,704890,8944,2338,43,36827520,26648,1382011722,Asia,428,23183,38
Africa,1207611,7650,28334,283,933952,8732,245325,1258,0,0,0,0,0,Africa,0,0,0
Russia,966189,4696,16568,120,779747,6652,169874,2300,6620,114,34800000,238448,145943991,Europe,151,8809,4
South Africa,613017,1567,13308,149,520381,3887,79328,539,10317,224,3578836,60231,59418339,Africa,97,4465,17
Peru,600438,0,27813,0,407301,0,165324,1525,18174,842,3006993,91014,33038913,South America,55,1188,11
Mexico,563705,3541,60800,320,389124,5252,113781,3346,4365,471,1263835,9787,129132739,North America,229,2124,102
Colombia,562128,10432,17889,277,395470,11299,148769,1493,11030,351,2546147,49961,50962919,South America,91,2849,20
Spain,423224,2415,28924,52,N/A,N/A,N/A,677,9051,619,8517446,182162,46757536,Europe,110,1617,5
Chile,400985,1417,10958,42,374463,1999,15564,1011,20949,573,2255966,117863,19140575,South America,48,1747,8
Iran,363363,2213,20901,125,313058,1693,29404,3839,4318,248,3883313,46147,84150494,Asia,232,4026,22
Argentina,350867,0,7402,36,263202,6413,80263,1960,7753,164,1127098,24904,45257261,South America,129,6114,40
UK,327798,1184,41449,16,N/A,N/A,N/A,72,4825,610,15177265,223394,67939531,Europe,207,1639,4
Saudi Arabia,309768,1114,3722,31,283932,1044,22114,1639,8878,107,4792192,137341,34892601,Asia,113,9375,7
Bangladesh,299628,2545,4028,45,186756,3881,108844,0,1817,24,1470191,8914,164932033,Asia,550,40946,112
Pakistan,293711,450,6255,11,278425,1596,9031,672,1326,28,2487744,11231,221507141,Asia,754,35413,89
Turkey,261194,1502,6163,24,238795,887,16236,811,3092,73,6521640,77204,84472939,Asia,323,13706,13
Italy,261174,876,35445,4,206015,353,19714,66,4321,586,8125892,134427,60448212,Europe,231,1705,7
France,248158,3304,30544,16,85524,325,132090,410,3801,468,6000000,91890,65295389,Europe,263,2138,11
Germany,237568,1451,9345,9,209600,0,18623,245,2834,111,10197366,121652,83824401,Europe,353,8970,8
Iraq,211947,3962,6596,77,153761,3372,51590,574,5253,163,1482187,36733,40350522,Asia,190,6117,27
Philippines,197164,2965,3038,34,132396,368,61730,717,1796,28,2378069,21659,109794456,Asia,557,36140,46
Indonesia,157859,2447,6858,99,112867,1807,38134,0,576,25,2056166,7506,273950524,Asia,1735,39946,133
Canada,125911,264,9090,7,112004,310,4817,62,3332,241,5169166,136782,37791278,North America,300,4157,7
Qatar,117498,232,194,0,114318,219,2986,68,41847,69,599447,213493,2807805,Asia,24,14473,5
Bolivia,110148,999,4578,69,47050,1654,58520,71,9417,391,234304,20032,11696291,South America,106,2555,50
Ecuador,109030,741,6368,46,95025,147,7637,386,6166,360,311310,17606,17682007,South America,162,2777,57
Ukraine,108415,1658,2318,25,52870,0,53227,177,2481,53,1436206,32870,43693004,Europe,403,18849,30
Israel,106460,1988,859,12,83822,2180,21779,427,11575,93,2180096,237029,9197590,Asia,86,10707,4
Kazakhstan,104902,184,1523,0,93405,807,9974,221,5577,81,2291327,121816,18809710,Asia,179,12350,8
Egypt,97619,141,5298,18,67717,900,24604,41,951,52,135000,1316,102611592,Africa,1051,19368,760
Dominican Republic,92217,609,1585,12,62460,902,28172,242,8488,146,350033,32220,10863994,North America,118,6854,31
Panama,87485,0,1906,0,62185,0,23394,154,20229,441,308435,71321,4324625,North America,49,2269,14
Sweden,86891,0,5814,5,N/A,N/A,N/A,22,8596,575,1030010,101894,10108688,Europe,116,1739,10
China,84981,14,4634,0,79961,36,386,11,59,3,90410000,62814,1439323776,Asia,16937,310601,16
