Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
World,25374286,216470,850048,4067,17696265,195097,6827973,61373,3255,109.1,0,0,0,All,0,0,0
North America,7305395,40659,270153,1079,4196634,20421,2838608,20375,0,0,0,0,0,North America,0,0,0
Asia,6992409,103533,141167,1533,5599525,101240,1251717,18826,0,0,0,0,0,Asia,0,0,0
South America,6242099,42005,201048,1089,4831315,59855,1209736,15189,0,0,0,0,0,South America,0,0,0
USA,6171116,31746,187202,347,3422774,13975,2561140,16009,18626,565,81789935,246861,331319877,North America,54,1770,4
Brazil,3862311,15346,120828,330,3031559,24747,709924,8318,18149,568,14352484,67444,212805498,South America,55,1761,15
India,3619169,79457,64617,960,2772928,60408,781624,8944,2618,47,41461636,29997,1382196924,Asia,382,21391,33
Europe,3554964,21747,207392,194,2065259,6512,1282313,5657,0,0,0,0,0,Europe,0,0,0
Africa,1250307,8395,29633,161,979715,6807,240959,1278,0,0,0,0,0,Africa,0,0,0
Russia,990326,4980,17093,68,806982,2599,166251,2300,6786,117,36426850,249593,145944843,Europe,147,8538,4
Peru,647166,7731,28788,181,455457,8782,162921,1514,19584,871,3191850,96590,33045190,South America,51,1148,10
South Africa,625056,2505,14028,47,538604,1910,72424,539,10518,236,3674872,61837,59428553,Africa,95,4236,16
Colombia,607938,8024,19364,300,450621,10047,137953,1493,11927,380,2715591,53278,50970324,South America,84,2632,19
Mexico,591712,5974,63819,673,409127,4460,118766,3334,4582,494,1334331,10332,129151233,North America,218,2024,97
Spain,455621,0,29011,0,N/A,N/A,N/A,751,9744,620,8517446,182161,46757783,Europe,103,1612,5
Chile,409974,1965,11244,63,382584,1401,16146,960,21417,587,2400522,125401,19142814,South America,47,1702,8
Argentina,408426,7187,8457,104,294007,6787,105962,2232,9023,187,1242269,27446,45262921,South America,111,5352,36
Iran,373570,1754,21462,103,321421,1574,30687,3759,4439,255,3184857,37841,84165180,Asia,225,3922,26
UK,334467,1715,41499,1,N/A,N/A,N/A,60,4923,611,16273209,239508,67944393,Europe,203,1637,4
Saudi Arabia,314821,910,3870,30,289667,1226,21284,1545,9021,111,5026127,144015,34900013,Asia,111,9018,7
Bangladesh,310822,1897,4248,42,201907,3044,104667,0,1884,26,1537749,9322,164954430,Asia,531,38831,107
Pakistan,295636,264,6288,4,280547,207,8801,601,1334,28,2603129,11749,221565832,Asia,749,35236,85
France,277943,5413,30606,4,86177,0,161160,402,4257,469,6323472,96841,65297356,Europe,235,2133,10
Turkey,268546,1482,6326,42,243839,1027,18381,945,3179,75,7028390,83191,84485330,Asia,315,13355,12
Italy,268218,1365,35477,4,208536,312,24205,86,4437,587,8591341,142130,60447003,Europe,225,1704,7
Germany,243295,470,9364,1,217484,0,16447,245,2902,112,11208091,133703,83828051,Europe,345,8952,7
Iraq,231177,3731,6959,68,172880,3860,51338,542,5727,172,1587326,39326,40362883,Asia,175,5800,25
Philippines,217396,4284,3520,102,157403,22319,56473,837,1980,32,2558157,23295,109814383,Asia,505,31197,43
Indonesia,172053,2858,7343,82,124185,1383,40525,0,628,27,2224337,8118,273990013,Asia,1592,37313,123
Canada,127940,267,9117,4,113663,162,5160,50,3385,241,5402249,142933,37795794,North America,295,4146,7
Ukraine,119074,2096,2527,35,56734,596,59813,177,2725,58,1536171,35161,43689434,Europe,367,17289,28
Qatar,118575,168,197,1,115430,179,2948,66,42230,70,624609,222455,2807805,Asia,24,14253,4
Bolivia,115354,945,4938,92,56749,1835,53667,71,9861,422,239073,20436,11698467,South America,101,2369,49
Israel,114020,555,919,13,92796,692,20305,444,12397,100,2279487,247835,9197590,Asia,81,10008,4
Ecuador,113648,742,6555,18,101620,6191,5473,377,6426,371,328491,18574,17685670,South America,156,2698,54
Kazakhstan,105684,126,1523,0,96135,247,8026,221,5618,81,2434444,129404,18812777,Asia,178,12352,8
Egypt,98727,230,5399,23,72120,818,21208,41,962,53,135000,1315,102638000,Africa,1040,19011,760
Dominican Republic,94241,509,1681,8,66776,456,25784,220,8673,155,367146,33790,10865479,North America,115,6464,30
Panama,92065,728,1995,12,65747,628,24323,157,21284,461,329511,76178,4325553,North America,47,2168,13
Romania,86785,952,3578,39,37665,277,45542,492,4516,186,1795633,93445,19216003,Europe,221,5371,11
Oman,85544,539,677,27,80459,851,4408,156,16686,132,309212,60315,5126634,Asia,60,7573,17
China,85031,9,4634,0,80153,27,244,5,59,3,90410000,62814,1439323776,Asia,16927,310601,16
Kuwait,84636,412,530,2,76650,657,7456,89,19772,124,614129,143467,4280629,Asia,51,8077,7
Belgium,84599,647,9891,5,18403,21,56305,72,7294,853,2261043,194953,11597901,Europe,137,1173,5
Sweden,83958,0,5821,0,N/A,N/A,N/A,21,8305,576,1094856,108299,10109546,Europe,120,1737,9
Guatemala,73912,233,2740,12,61681,518,9491,5,4114,152,241959,13466,17967755,North America,243,6558,74
Belarus,71687,164,676,5,70452,245,559,0,7587,72,1527049,161613,9448806,Europe,132,13978,6
Netherlands,70140,508,6224,0,N/A,N/A,N/A,43,4092,363,1455274,84900,17141131,Europe,244,2754,12
UAE,69690,362,382,3,60600,398,8708,0,7033,39,7011895,707587,9909587,Asia,142,25941,1
Japan,67264,841,1264,9,56164,823,9836,234,532,10,1455610,11515,126411635,Asia,1879,100009,87
Poland,66870,631,2033,1,46192,656,18645,85,1767,54,2701553,71395,37839707,Europe,566,18613,14
Morocco,61399,1343,1111,33,46355,1737,13933,31,1660,30,1890964,51134,36980844,Africa,602,33286,20
Honduras,59645,835,1842,15,10156,80,47647,44,6007,186,142638,14365,9929610,North America,166,5391,70
Portugal,57768,320,1819,1,41885,119,14064,41,5668,178,1976482,193930,10191733,Europe,176,5603,5
Singapore,56771,54,27,0,55586,139,1158,0,9691,5,1832813,312883,5857819,Asia,103,216956,3
Nigeria,53865,138,1013,2,41513,199,11339,7,260,5,402070,1943,206928340,Africa,3842,204273,515
Bahrain,51574,183,189,0,48654,379,2731,34,30153,111,1100729,643548,1710407,Asia,33,9050,2
Ethiopia,51122,1468,793,23,18382,266,31947,344,443,7,890929,7720,115403228,Africa,2257,145527,130
Venezuela,44946,0,375,0,36175,0,8396,86,1581,13,1754575,61732,28422458,South America,632,75793,16
Ghana,44205,87,276,6,42777,196,1152,6,1418,9,442185,14184,31174325,Africa,705,112950,71
Algeria,44146,365,1501,10,30978,261,11667,29,1004,34,0,0,43975904,Africa,996,29298,0
Kyrgyzstan,43820,108,1058,1,38198,225,4564,24,6699,162,267718,40928,6541249,Asia,149,6183,24
Armenia,43750,124,877,5,37650,87,5223,0,14760,296,205450,69311,2964158,Asia,68,3380,14
Switzerland,42014,292,2005,0,35800,600,4209,18,4849,231,1010948,116671,8664924,Europe,206,4322,9
Uzbekistan,41424,264,313,4,38655,296,2456,133,1235,9,1377915,41075,33546521,Asia,810,107177,24
Costa Rica,39699,0,418,0,15737,0,23544,133,7782,82,146047,28627,5101650,North America,129,12205,35
Nepal,38561,1221,221,14,20822,267,17518,0,1320,8,682343,23352,29219461,Asia,758,132215,43
Afghanistan,38162,19,1402,0,29089,26,7671,31,977,36,102598,2626,39064675,Asia,1024,27864,381
Moldova,36700,296,992,2,25139,0,10569,575,9101,246,207925,51564,4032396,Europe,110,4065,19
Azerbaijan,36309,135,531,2,33703,127,2075,0,3576,52,917027,90312,10153980,Asia,280,19122,11
Kenya,34057,263,574,2,19688,98,13795,44,631,11,450146,8343,53955764,Africa,1584,94000,120
Serbia,31365,83,711,1,29931,106,723,48,3592,81,925208,105963,8731464,Europe,278,12281,9
Ireland,28760,40,1777,0,23364,0,3619,5,5814,359,824712,166721,4946665,Europe,172,2784,6
Oceania,28391,131,640,11,23166,262,4585,44,0,0,0,0,0,Australia/Oceania,0,0,0
Austria,27166,181,733,0,23070,204,3363,30,3013,81,1172092,130019,9014800,Europe,332,12298,8
