Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Continent
World,2261397,12534,154726,581,579187,1527484,57086,290,19.8,0,0,All
Europe,1036411,7197,96610,382,293314,646487,28234,0,0,0,0,Europe
North America,761133,1378,39515,93,77306,644312,14623,0,0,0,0,North America
USA,710272,537,37175,21,63510,609587,13509,2146,112,3579797,10815,North America
Asia,361190,3006,14124,58,171002,176064,6402,0,0,0,0,Asia
Spain,190839,0,20002,0,74797,96040,7371,4082,428,930230,19896,Europe
Italy,172434,0,22745,0,42727,106962,2812,2852,376,1244108,20577,Europe
France,147969,0,18681,0,34420,94868,6027,2267,286,463662,7103,Europe
Germany,141397,0,4352,0,85400,51645,5013,1688,52,1728357,20629,Europe
UK,108692,0,14576,0,N/A,93772,1559,1601,215,438991,6467,Europe
China,82719,27,4632,0,77029,1058,85,57,3,0,0,Asia
Iran,79494,0,4958,0,54064,20472,3563,946,59,319879,3808,Asia
Turkey,78546,0,1769,0,8631,68146,1845,931,21,558413,6621,Asia
South America,73219,688,3354,36,26878,42987,7573,0,0,0,0,South America
Belgium,37183,1045,5453,290,8348,23382,1119,3208,471,145997,12597,Europe
Russia,36793,4785,313,40,3057,33423,8,252,2,1810000,12403,Europe
Brazil,34221,539,2171,30,14026,18024,6634,161,10,62985,296,South America
Canada,31927,0,1310,0,10543,20074,557,846,35,507701,13452,North America
Netherlands,30449,0,3459,0,250,26740,1279,1777,202,154911,9041,Europe
Switzerland,27078,0,1336,9,16400,9342,386,3129,154,206400,23849,Europe
Africa,20639,220,1028,8,4997,14614,187,0,0,0,0,Africa
Portugal,19022,0,657,0,519,17846,222,1866,64,234207,22969,Europe
Austria,14619,24,431,0,10214,3974,208,1623,48,169272,18795,Europe
India,14425,73,488,2,2045,11892,0,10,0.4,335123,243,Asia
Ireland,13980,0,530,0,77,13373,294,2831,107,90646,18358,Europe
Peru,13489,0,300,0,6541,6648,137,409,9,127513,3867,South America
Sweden,13216,0,1400,0,550,11266,523,1309,139,74600,7387,Europe
Israel,13107,125,158,7,3247,9702,167,1514,18,187250,21634,Asia
S. Korea,10653,18,232,2,7937,2484,55,208,5,546463,10659,Asia
Japan,9787,0,190,0,935,8662,193,77,2,100703,796,Asia
Chile,9252,0,116,0,3621,5515,384,484,6,103873,5434,South America
Poland,8563,184,339,7,981,7243,160,226,9,179654,4747,Europe
Ecuador,8450,0,421,0,838,7191,168,479,24,27868,1580,South America
Romania,8418,351,417,6,1730,6271,248,438,22,90991,4730,Europe
Oceania,8084,45,80,4,5046,2958,60,0,0,0,0,Australia/Oceania
Pakistan,7481,456,143,8,1832,5506,46,34,0.6,92548,419,Asia
Saudi Arabia,7142,0,87,0,1049,6006,74,205,2,150000,4309,Asia
Denmark,7073,0,336,0,3389,3348,93,1221,58,87024,15024,Europe
Norway,6992,55,162,1,32,6798,63,1290,30,136236,25130,Europe
Mexico,6875,578,546,60,2125,4204,207,53,4,48365,375,North America
Australia,6565,32,69,4,4163,2333,55,257,3,406510,15942,Australia/Oceania
Czechia,6553,4,176,3,1183,5194,86,612,16,162533,15177,Europe
UAE,6302,0,37,0,1188,5077,1,637,4,767000,77550,Asia
Indonesia,6248,325,535,15,631,5082,0,23,2,37134,136,Asia
Philippines,6087,209,397,10,516,5174,1,56,4,56048,511,Asia
Singapore,5992,942,11,0,708,5273,22,1024,2,94796,16203,Asia
Serbia,5690,0,110,0,534,5046,120,651,13,32566,3727,Europe
Malaysia,5305,54,88,2,3102,2115,49,164,3,96695,2988,Asia
Ukraine,5106,444,133,8,275,4698,45,117,3,52534,1201,Europe
Belarus,4779,0,42,0,342,4395,65,506,4,86813,9187,Europe
Qatar,4663,0,7,0,464,4192,37,1619,2,58328,20245,Asia
Panama,4210,194,116,7,122,3972,96,976,27,18559,4301,North America
Dominican Republic,4126,0,200,0,268,3658,146,380,18,13282,1224,North America
Finland,3489,0,82,0,1700,1707,73,630,15,52500,9475,Europe
Luxembourg,3480,0,72,0,579,2829,29,5559,115,32394,51749,Europe
Colombia,3439,0,153,0,634,2652,98,68,3,55573,1092,South America
Egypt,2844,0,205,0,646,1993,0,28,2,25000,244,Africa
South Africa,2783,0,50,0,903,1830,7,47,0.8,100827,1700,Africa
Argentina,2758,89,129,6,666,1963,126,61,3,28650,634,South America
Thailand,2733,33,47,0,1787,899,61,39,0.7,100498,1440,Asia
Morocco,2670,106,137,2,298,2235,1,72,4,13111,355,Africa
Algeria,2418,0,364,0,846,1208,60,55,8,3359,77,Africa
Moldova,2264,0,56,0,391,1817,80,561,14,9848,2441,Europe
Greece,2224,0,108,0,269,1847,71,213,10,50771,4871,Europe
Bangladesh,2144,306,84,9,66,1994,1,13,0.5,21307,129,Asia
Hungary,1834,71,172,16,231,1431,60,190,18,43901,4544,Europe
Croatia,1814,0,36,0,600,1178,30,442,9,20953,5104,Europe
Iceland,1754,0,9,0,1224,521,6,5140,26,39536,115859,Europe
Kuwait,1751,93,6,1,280,1465,34,410,1,0,0,Asia
Bahrain,1744,4,7,0,726,1011,3,1025,4,79612,46787,Asia
Kazakhstan,1591,45,17,0,347,1227,22,85,0.9,85735,4566,Asia
Estonia,1512,53,38,0,162,1312,11,1140,29,39605,29856,Europe
Iraq,1482,0,81,0,906,495,0,37,2,51737,1286,Asia
Uzbekistan,1450,45,4,0,161,1285,8,43,0.1,136000,4063,Asia
New Zealand,1422,13,11,0,867,544,3,295,2,79078,16399,Australia/Oceania
Azerbaijan,1340,0,15,0,528,797,26,132,1,86607,8542,Asia
Slovenia,1304,0,66,0,174,1064,28,627,32,39330,18918,Europe
Armenia,1248,47,20,1,523,705,30,421,7,11796,3981,Asia
Lithuania,1239,90,33,0,228,978,14,455,12,58816,21605,Europe
Bosnia and Herzegovina,1214,0,46,0,320,848,4,370,14,15751,4801,Europe
Oman,1180,111,6,0,176,998,3,231,1,0,0,Asia
North Macedonia,1117,0,49,0,139,929,15,536,24,10859,5212,Europe
Slovakia,1089,40,11,2,213,865,10,199,2,40953,7501,Europe
Hong Kong,1024,2,4,0,568,452,9,137,0.5,131786,17579,Asia
Cameroon,1017,21,22,0,177,818,0,38,0.8,0,0,Africa
Afghanistan,933,27,30,0,112,791,0,24,0.8,0,0,Asia
Cuba,923,0,31,0,192,700,17,81,3,23317,2059,North America
Bulgaria,865,19,41,0,153,671,34,124,6,18502,2663,Europe
Tunisia,864,0,37,0,43,784,89,73,3,14640,1239,Africa
Cyprus,750,0,12,0,77,661,8,621,10,29075,24081,Asia
Djibouti,732,0,2,0,76,654,0,741,2,7486,7577,Africa
0,721,0,15,0,644,62,7,0,0,0,0,0
Diamond Princess,712,0,13,0,644,55,7,0,0,0,0,0
Latvia,712,30,5,0,88,619,5,377,3,34697,18395,Europe
Andorra,696,0,35,0,191,470,17,9008,453,1673,21653,Europe
Ivory Coast,688,0,6,0,193,489,0,26,0.2,0,0,Africa
Lebanon,672,4,21,0,94,557,30,98,3,20225,2963,Asia
Costa Rica,649,0,4,0,88,557,10,127,0.8,9752,1914,North America
Ghana,641,0,8,0,83,550,2,21,0.3,50719,1632,Africa
Niger,627,0,18,0,110,499,0,26,0.7,4688,194,Africa
Burkina Faso,557,0,35,0,294,228,0,27,2,0,0,Africa
Albania,539,0,26,0,283,230,5,187,9,5080,1765,Europe
Uruguay,508,6,9,0,294,205,12,146,3,11749,3382,South America
Kyrgyzstan,506,17,5,0,130,371,5,78,0.8,26147,4008,Asia
Bolivia,493,28,31,0,31,431,3,42,3,3569,306,South America
Nigeria,493,0,17,0,159,317,2,2,0.08,7153,35,Africa
Guinea,477,0,3,0,59,415,0,36,0.2,0,0,Africa
Channel Islands,470,0,20,0,73,377,0,2703,115,3320,19095,Europe
Honduras,457,15,46,5,10,401,10,46,5,2396,242,North America
San Marino,435,0,39,0,57,339,15,12820,1149,846,24933,Europe
Malta,422,0,3,0,91,328,4,956,7,22254,50401,Europe
